Reference, Value, Footprint, Datasheet, MPN, Manufacturer
U9,USB-B,qomu-board:USB-PCB,,N/A,N/A
U10,UHD1110-FKA,qomu-board-footprints:LED-RGB-5DS-UHD1110-FKA,https://www.cree.com/led-components/media/documents/ds-UHD1110-FKA.pdf,UHD1110-FKA,Cree
R12,22R,qomu-board-footprints:R_0201_0603Metric,Multicomp,ANY,MCRE000100 
R9,1k5,qomu-board-footprints:R_0201_0603Metric,,MCRE000144,Multicomp
SW2,Captouch Pads,qomu-board:captouch-edge,,N/A,N/A
D1,D5V0L1B2LP3-7,qomu-board-footprints:X1-DFN1006-2,https://www.diodes.com/assets/Datasheets/D5V0L1B2LP3.pdf,D5V0L1B2LP3-7,Diodes Inc.
D2,D5V0L1B2LP3-7,qomu-board-footprints:X1-DFN1006-2,https://www.diodes.com/assets/Datasheets/D5V0L1B2LP3.pdf,D5V0L1B2LP3-7,Diodes Inc.
D3,D5V0L1B2LP3-7,qomu-board-footprints:X1-DFN1006-2,https://www.diodes.com/assets/Datasheets/D5V0L1B2LP3.pdf,D5V0L1B2LP3-7,Diodes Inc.
D4,D5V0L1B2LP3-7,qomu-board-footprints:X1-DFN1006-2,https://www.diodes.com/assets/Datasheets/D5V0L1B2LP3.pdf,D5V0L1B2LP3-7,Diodes Inc.
D6,D5V0L1B2LP3-7,qomu-board-footprints:X1-DFN1006-2,https://www.diodes.com/assets/Datasheets/D5V0L1B2LP3.pdf,D5V0L1B2LP3-7,Diodes Inc.
D7,D5V0L1B2LP3-7,qomu-board-footprints:X1-DFN1006-2,https://www.diodes.com/assets/Datasheets/D5V0L1B2LP3.pdf,D5V0L1B2LP3-7,Diodes Inc.
D5,VCUT05E1-SD0,qomu-board-footprints:X1-DFN1006-2,http://www.vishay.com/docs/85900/vcut05e1-sd0.pdf,D5V0L1B2LP3-7,Diodes Inc.
R1,10k,qomu-board-footprints:R_0201_0603Metric,,ERJ1GNF1002C ,Panasonic
R11,22R,qomu-board-footprints:R_0201_0603Metric,Multicomp,ANY,MCRE000100 
C2,2u2/10V,qomu-board-footprints:C_0201_0603Metric,,CL03A225MP3CRNC ,Samsung
C9,2u2/10V,qomu-board-footprints:C_0201_0603Metric,,CL03A225MP3CRNC ,Samsung
U4,GD25Q16CEIGR,qomu-board:GD25Q16CEIGR,http://www.gigadevice.com/datasheet/gd25q16c/,GD25Q16CEIGR,GigaDevice Semiconductor
R3,4k7,qomu-board-footprints:R_0201_0603Metric,,ERJ1GNF1002C ,Panasonic
R4,4k7,qomu-board-footprints:R_0201_0603Metric,,ERJ1GNF1002C ,Panasonic
C5,100n,qomu-board-footprints:C_0201_0603Metric,,GRM033R60J104KE19D ,Murata
U5,MC3635,qomu-board:MC3635,https://mcubemems.com/wp-content/uploads/2019/06/MC3635-Datasheet-APS-048-0044v1.6.pdf,MC3635,mCube
C4,100n,qomu-board-footprints:C_0201_0603Metric,,GRM033R60J104KE19D ,Murata
U2,MIC5504-3.3YMT,qomu-board-footprints:Texas_X2SON-4_1x1mm_P0.65mm,,MIC5504-3.3YMT,Microchip
