Reference,Value,Footprint,Count,Datasheet,FootprintLib,MPN,Manufacturer,SZLCSC_1k_RMB,SZLCSC_URL,DEBUG,Description
U10,UHD1110-FKA,LED-RGB-5DS-UHD1110-FKA,1,https://www.cree.com/led-components/media/documents/ds-UHD1110-FKA.pdf,qomu-board-footprints,UHD1110-FKA,Cree,,,,
R12,"22R, 1%, 0201",R_0201_0603Metric,1,,qomu-board-footprints,MCRE000100,Multicomp,,,,
R9,"1k5, 1%, 0201",R_0201_0603Metric,1,,qomu-board-footprints,MCRE000144,Multicomp,,,,
D1,D5V0L1B2LP3-7,X1-DFN1006-2,1,https://www.diodes.com/assets/Datasheets/D5V0L1B2LP3.pdf,qomu-board-footprints,D5V0L1B2LP3-7,Diodes Inc.,,,,
D2,D5V0L1B2LP3-7,X1-DFN1006-2,1,https://www.diodes.com/assets/Datasheets/D5V0L1B2LP3.pdf,qomu-board-footprints,D5V0L1B2LP3-7,Diodes Inc.,,,,
D3,D5V0L1B2LP3-7,X1-DFN1006-2,1,https://www.diodes.com/assets/Datasheets/D5V0L1B2LP3.pdf,qomu-board-footprints,D5V0L1B2LP3-7,Diodes Inc.,,,,
D4,D5V0L1B2LP3-7,X1-DFN1006-2,1,https://www.diodes.com/assets/Datasheets/D5V0L1B2LP3.pdf,qomu-board-footprints,D5V0L1B2LP3-7,Diodes Inc.,,,,
D6,D5V0L1B2LP3-7,X1-DFN1006-2,1,https://www.diodes.com/assets/Datasheets/D5V0L1B2LP3.pdf,qomu-board-footprints,D5V0L1B2LP3-7,Diodes Inc.,,,,
D7,D5V0L1B2LP3-7,X1-DFN1006-2,1,https://www.diodes.com/assets/Datasheets/D5V0L1B2LP3.pdf,qomu-board-footprints,D5V0L1B2LP3-7,Diodes Inc.,,,,
D5,VCUT05E1-SD0,X1-DFN1006-2,1,http://www.vishay.com/docs/85900/vcut05e1-sd0.pdf,qomu-board-footprints,D5V0L1B2LP3-7,Diodes Inc.,,,,
R1,"10k, 1%, 0201",R_0201_0603Metric,1,,qomu-board-footprints,ERJ1GNF1002C ,Panasonic,,,,
R11,"22R, 1%, 0201",R_0201_0603Metric,1,,qomu-board-footprints,MCRE000100 ,Multicomp,,,,
C2,"2u2, 10V, X5R, 0201",C_0201_0603Metric,1,,qomu-board-footprints,CL03A225MP3CRNC ,Samsung,,,,
C9,"2u2, 10V, X5R, 0201",C_0201_0603Metric,1,,qomu-board-footprints,CL03A225MP3CRNC ,Samsung,,,,
U4,GD25Q16CEIGR,GD25Q16CEIGR,1,http://www.gigadevice.com/datasheet/gd25q16c/,qomu-board-footprints,GD25Q16CEIGR,GigaDevice Semiconductor,,,,
C5,"100n, 6.3V, X5R, 0201",C_0201_0603Metric,1,,qomu-board-footprints,GRM033R60J104KE19D ,Murata,,,,
U2,MIC5504-3.3YMT,Texas_X2SON-4_1x1mm_P0.65mm,1,,qomu-board-footprints,MIC5504-3.3YMT,Microchip,0.5733,https://item.szlcsc.com/86372.html,,
C3,"100n, 6.3V, X5R, 0201",C_0201_0603Metric,1,,qomu-board-footprints,GRM033R60J104KE19D,Murata,,,,
C6,"100n, 6.3V, X5R, 0201",C_0201_0603Metric,1,,qomu-board-footprints,GRM033R60J104KE19D,Murata,,,,
