Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2u2/10V","C_0201_0603Metric",18.470000,-24.870000,270.000000,bottom
"C2","2u2/10V","C_0201_0603Metric",25.850000,-23.640000,90.000000,bottom
"C3","100n","C_0201_0603Metric",18.840000,-22.019000,180.000000,bottom
"C4","100n","C_0201_0603Metric",26.580000,-22.659000,90.000000,bottom
"C5","100n","C_0201_0603Metric",24.100000,-19.609000,270.000000,bottom
"C6","100n","C_0201_0603Metric",21.440000,-25.215000,0.000000,bottom
"C7","2u2/10V","C_0201_0603Metric",22.900000,-24.465000,180.000000,bottom
"C8","100n","C_0201_0603Metric",23.250000,-23.345000,270.000000,bottom
"C9","2u2/10V","C_0201_0603Metric",21.440000,-24.459000,0.000000,bottom
"C10","100n","C_0201_0603Metric",23.250000,-21.904000,90.000000,bottom
"C11","100n","C_0201_0603Metric",24.360000,-24.835000,0.000000,bottom
"C12","100n","C_0201_0603Metric",34.100000,-18.320000,270.000000,bottom
"C13","8p","C_0201_0603Metric",17.750000,-22.469000,90.000000,bottom
"C14","8p","C_0201_0603Metric",17.750000,-23.879000,90.000000,bottom
"D1","D5V0L1B2LP3-7","X1-DFN1006-2",27.450000,-18.109000,270.000000,bottom
"D2","D5V0L1B2LP3-7","X1-DFN1006-2",26.680000,-23.915000,270.000000,bottom
"D3","D5V0L1B2LP3-7","X1-DFN1006-2",27.450000,-19.159000,90.000000,bottom
"D4","D5V0L1B2LP3-7","X1-DFN1006-2",26.780000,-25.010000,90.000000,bottom
"D5","VCUT05E1-SD0","X1-DFN1006-2",17.810000,-25.119000,270.000000,bottom
"D6","D5V0L1B2LP3-7","X1-DFN1006-2",17.780000,-21.019000,270.000000,bottom
"D7","D5V0L1B2LP3-7","X1-DFN1006-2",17.770000,-19.399000,90.000000,bottom
"D8","SD05C.TCT","SOD-323-SD05",36.250000,-17.970000,0.000000,bottom
"IC1","EOS-S3","42-WLCSP",21.285000,-22.645000,0.000000,bottom
"J1","FTSH-105-01-L-DV-K","PinHeader_2x5_P1.27_SMD",37.100000,-23.070000,0.000000,bottom
"Q1","RV1C002UN","VML0806",18.210000,-18.179000,270.000000,bottom
"Q2","RV1C002UN","VML0806",19.180000,-18.179000,270.000000,bottom
"Q3","RV1C002UN","VML0806",25.840000,-18.619000,180.000000,bottom
"R1","10k","R_0201_0603Metric",18.840000,-21.309000,180.000000,bottom
"R2","10k","R_0201_0603Metric",22.900000,-25.219000,0.000000,bottom
"R3","4k7","R_0201_0603Metric",25.790000,-25.559000,180.000000,bottom
"R4","4k7","R_0201_0603Metric",25.790000,-24.829000,0.000000,bottom
"R5","10k","R_0201_0603Metric",24.360000,-25.555000,180.000000,bottom
"R6","10k","R_0201_0603Metric",41.250000,-26.020000,90.000000,bottom
"R7","0R","R_0201_0603Metric",41.350000,-21.070000,0.000000,bottom
"R8","4k7","R_0201_0603Metric",26.580000,-21.219000,270.000000,bottom
"R9","1k5","R_0201_0603Metric",18.740000,-20.599000,180.000000,bottom
"R10","0R","R_0201_0603Metric",41.350000,-21.820000,0.000000,bottom
"R11","22R","R_0201_0603Metric",18.740000,-19.179000,180.000000,bottom
"R12","22R","R_0201_0603Metric",18.740000,-19.889000,180.000000,bottom
"R13","10k","R_0201_0603Metric",42.700000,-17.470000,180.000000,bottom
"R15","10k","R_0201_0603Metric",44.200000,-17.470000,0.000000,bottom
"R16","100R","R_0201_0603Metric",24.800000,-19.609000,270.000000,bottom
"R17","100R","R_0201_0603Metric",26.850000,-18.289000,270.000000,bottom
"R18","220R","R_0201_0603Metric",26.850000,-19.769000,270.000000,bottom
"S1","MSS3-V-T_R","Switch_Slide_MSS3",43.500000,-22.210000,270.000000,bottom
"U1","MIC5504-3.3YMT","Texas_X2SON-4_1x1mm_P0.65mm",24.575000,-23.690000,0.000000,bottom
"U2","MIC5504-3.3YMT","Texas_X2SON-4_1x1mm_P0.65mm",19.770000,-24.919000,180.000000,bottom
"U4","GD25Q16C","GD25Q16CEIGR",21.650000,-19.745000,0.000000,bottom
"U5","MC3635","MC3635",25.200000,-21.640000,0.000000,bottom
"U10","UHD1110-FKA","LED-RGB-5DS-UHD1110-FKA",25.825000,-19.725000,180.000000,bottom
"XTAL1","ECS-_327-12_5-1210-TR","XTAL_ECS-.327-12.5-1210-TR",18.900000,-23.276500,270.000000,bottom
